Code postal;Commune
44036;CHATEAUBRIANT
35069;CHATEAUGIRON
35070;CHATEAUNEUF D ILLE ET VILAINE
92019;CHATENAY MALABRY
35072;CHATILLON EN VENDELAIS
53064;CHATILLON SUR COLMONT
72073;CHAUFOUR NOTRE DAME
44038;CHAUVE
35076;CHAVAGNE
69052;CHAZAY D AZERGUES
35077;CHELUN
50129;CHERBOURG EN COTENTIN
35079;CHEVAIGNE
94021;CHEVILLY LARUE
49099;CHOLET
37077;CINQ MARS LA PILE
31145;CINTEGABELLE
35080;CINTRE
92023;CLAMART
35081;CLAYES
29030;CLEDER
29031;CLOHARS CARNOET
35082;COESMES
35084;COMBLESSAC
35085;COMBOURG
35086;COMBOURTILLE
79096;COMBRAND
29039;CONCARNEAU
56043;CONCORET
78172;CONFLANS STE HONORINE
14181;CORMELLES LE ROYAL
35087;CORNILLE
35088;CORPS NUDS
44047;COUERON
92026;COURBEVOIE
50146;COURTILS
50147;COUTANCES
56046;CRACH
14197;CRESSERONS
35090;CREVIN
59163;CROIX
61140;CRULAI
13030;CUGES LES PINS
35092;CUGUEN
56052;DAMGAN
44051;DERVAL
21231;DIJON
22050;DINAN
35093;DINARD
35094;DINGE
44029;DIVATTE SUR LOIRE
35095;DOL DE BRETAGNE
35096;DOMAGNE
35097;DOMALAIN
35099;DOMLOUP
54165;DOMMARTEMONT
17142;DOMPIERRE SUR MER
50165;DONVILLE LES BAINS
35101;DOURDAIN
59183;DUNKERQUE
59193;EMMERIN
53094;ENTRAMMES
35104;EPINIAC
35105;ERBREE
35106;ERCE EN LAMEE
35107;ERCE PRES LIFFRE
29051;ERGUE GABERIC
22054;ERQUY
35108;ESSE
35109;ETRELLES
22056;EVRAN
59220;FACHES THUMESNIL
74123;FAVERGES SEYTHENEX
44057;FEGREAC
35110;FEINS
44058;FERCE
56058;FEREL
27238;FERRIERES HAUT CLOCHER
50188;FOLLIGNY
37109;FONDETTES
14274;FONTAINE ETOUPEFOUR
76270;FONTAINE LA MALLET
14277;FONTENAY LE MARMION
94033;FONTENAY SOUS BOIS
53099;FORCE
80331;FOREST L ABBAYE
29058;FOUESNANT
35115;FOUGERES
53100;FOUGEROLLES DU PLESSIS
76475;FRANQUEVILLE ST PIERRE
35117;GAEL
35118;GAHARD
35119;GENNES SUR SEICHE
56063;GESTEL
35120;GEVEZE
91272;GIF SUR YVETTE
44064;GORGES
35121;GOSNE
56065;GOURHEL
35123;GOVEN
35124;GRAND FOUGERAY
50391;GRANDPARIGNY
50218;GRANVILLE
38185;GRENOBLE
59275;GRUSON
56070;GUEGON
44067;GUEMENE PENFAO
56075;GUER
35126;GUICHEN
56078;GUIDEL
35127;GUIGNEN
22070;GUINGAMP
29075;GUIPAVAS
35128;GUIPEL
35176;GUIPRY MESSAC
22071;GUITTE
10169;GUMERY
27310;HACQUEVILLE
44071;HAUTE GOULAINE
35130;HEDE BAZOUGES
22077;HENANSAL
64260;HENDAYE
56083;HENNEBONT
14327;HEROUVILLE ST CLAIR
22081;HILLION
50247;HOCQUIGNY
35133;IFFENDIC
22083;ILLIFAUT
56090;INZINZAC LOCHRIST
35135;IRODOUER
35136;JANZE
17192;JARNAC CHAMPAGNE
35137;JAVENE
89209;JOUY
76378;JUMIEGES
56092;KERFOURN
56094;KERVIGNAC
35131;L HERMITAGE
95313;L ISLE ADAM
44055;LA BAULE ESCOUBLAC
35017;LA BAUSSAINE
35030;LA BOSSE DE BRETAGNE
35031;LA BOUEXIERE
35034;LA BOUSSAC
33213;LA BREDE
78126;LA CELLE ST CLOUD
35056;LA CHAPELLE AUX FILTZMEENS
35057;LA CHAPELLE BOUEXIC
35058;LA CHAPELLE CHAUSSEE
35059;LA CHAPELLE DES FOUGERETZ
35060;LA CHAPELLE DU LOU DU LAC
35061;LA CHAPELLE ERBREE
35063;LA CHAPELLE ST AUBERT
18050;LA CHAPELLE ST URSIN
44035;LA CHAPELLE SUR ERDRE
35065;LA CHAPELLE THOUARAULT
35089;LA COUYERE
35098;LA DOMINELAIS
45146;LA FERTE ST AUBIN
35116;LA FRESNAIS
56061;LA GACILLY
85097;LA GAUBRETIERE
35122;LA GOUESNIERE
35125;LA GUERCHE DE BRETAGNE
35177;LA MEZIERE
35202;LA NOE BLANCHE
35203;LA NOUAYE
53177;LA PELLERINE
22255;LA PRENESSAYE
35241;LA RICHARDAIS
37195;LA RICHE
85191;LA ROCHE SUR YON
17300;LA ROCHELLE
76547;LA RUE ST PIERRE
22385;LA VICOMTE SUR RANCE
35358;LA VILLE ES NONAIS
77243;LAGNY SUR MARNE
35139;LAILLE
13050;LAMBESC
22094;LANCIEUX
35142;LANDEAN
85118;LANDERONDE
53125;LANDIVY
35143;LANDUJAN
35144;LANGAN
35145;LANGON
35146;LANGOUET
22106;LANGUEUX
22113;LANNION
22114;LANRELAS
35148;LANRIGAN
22118;LANVALLAY
35149;LASSY
53128;LAUBRIERES
53130;LAVAL
54304;LAXOU
17051;LE BOIS PLAGE EN RE
27099;LE BOULAY MORIN
35091;LE CROUAIS
35111;LE FERRE
76351;LE HAVRE
22082;LE HINGLE
94043;LE KREMLIN BICETRE
35157;LE LOROUX
72181;LE MANS
44120;LE PELLERIN
35217;LE PERTRE
35218;LE PETIT FOUGERAY
95491;LE PLESSIS BOUCHARD
27464;LE PLESSIS GROHAN
78502;LE PORT MARLY
22263;LE QUIOU
29235;LE RELECQ KERHUON
35240;LE RHEU
35322;LE SEL DE BRETAGNE
56246;LE SOURN
35333;LE THEIL DE BRETAGNE
62826;LE TOUQUET PARIS PLAGE
56252;LE TOUR DU PARC
35362;LE TRONCHET
35351;LE VERGER
22387;LE VIEUX MARCHE
35150;LECOUSSE
35046;LES BRULAIS
22035;LES CHAMPS GERAUX
78165;LES CLAYES SOUS BOIS
56060;LES FOUGERETS
35134;LES IFFS
50274;LES LOGES MARCHIS
78440;LES MUREAUX
92044;LEVALLOIS PERRET
35151;LIEURON
35152;LIFFRE
59350;LILLE
78335;LIMAY
87085;LIMOGES
14365;LION SUR MER
35154;LIVRE SUR CHANGEON
29135;LOCTUDY
29137;LOGONNA DAOULAS
35155;LOHEAC
53137;LOIRON RUILLE
45185;LOMBREUIL
59356;LOMPRET
35156;LONGAULNAY
59359;LOON PLAGE
29140;LOPERHET
56121;LORIENT
22133;LOSCOUET SUR MEU
22136;LOUDEAC
35159;LOURMAIS
53140;LOUVERNE
27375;LOUVIERS
35161;LOUVIGNE DE BAIS
35162;LOUVIGNE DU DESERT
56122;LOYAT
28220;LUISANT
69384;LYON 04
69385;LYON 05
70321;MAGNY VERNOIS
57431;MAIZEROY
56123;MALANSAC
84070;MALEMORT DU COMTAT
25364;MAMIROLLE
50288;MARCEY LES GREVES
35164;MARCILLE RAOUL
35165;MARCILLE ROBERT
69281;MARENNES
78372;MARLY LE ROI
35166;MARPIRE
13207;MARSEILLE 07
35167;MARTIGNE FERCHAUD
44092;MASSERAC
22143;MATIGNON
49244;MAUGES SUR LOIRE
78383;MAUREPAS
56127;MAURON
35169;MAXENT
53147;MAYENNE
35170;MECE
35171;MEDREAC
22145;MEGRIT
35172;MEILLAC
35173;MELESSE
29146;MELGVEN
56129;MENEAC
22147;MERDRIGNAC
35175;MERNEL
92048;MEUDON
35178;MEZIERES SUR COUESNON
86157;MIGNALOUX BEAUVOIR
35179;MINIAC MORVAN
35180;MINIAC SOUS BECHEREL
44098;MISSILLAC
56133;MISSIRIAC
29150;MOELAN SUR MER
56135;MOLAC
35183;MONDEVERT
35186;MONT DOL
76451;MONT ST AIGNAN
35184;MONTAUBAN DE BRETAGNE
72205;MONTBIZOT
53155;MONTENAY
56136;MONTENEUF
35187;MONTERFIL
35188;MONTFORT SUR MEU
35189;MONTGERMONT
35190;MONTHAULT
71313;MONTHELON
41145;MONTHOU SUR BIEVRE
49214;MONTREUIL JUIGNE
35193;MONTREUIL LE GAST
35194;MONTREUIL SOUS PEROUSE
35195;MONTREUIL SUR ILLE
49218;MONTREVAULT SUR EVRE
92049;MONTROUGE
37159;MONTS
53161;MONTSURS
35196;MORDELLES
29151;MORLAIX
85151;MORTAGNE SUR SEVRE
35197;MOUAZE
85153;MOUCHAMPS
85155;MOUILLERON LE CAPTIF
53162;MOULAY
35198;MOULINS
35200;MOUTIERS
35201;MUEL
25418;NANCRAY
54395;NANCY
44109;NANTES
41158;NAVEIL
47195;NERAC
29153;NEVEZ
59431;NIEPPE
35204;NOUVOITOU
35206;NOYAL CHATILLON SUR SEICHE
35205;NOYAL SOUS BAZOUGES
35207;NOYAL SUR VILAINE
76481;OCTEVILLE SUR MER
35208;ORGERES
45234;ORLEANS
69148;ORLIENAS
91471;ORSAY
50388;ORVAL SUR SIENNE
44114;ORVAULT
45240;OUTARVILLE
35210;PACE
22162;PAIMPOL
35211;PAIMPONT
35212;PANCE
35214;PARCE
35215;PARIGNE
72231;PARIGNE L EVEQUE
75103;PARIS 03
75105;PARIS 05
75106;PARIS 06
75109;PARIS 09
75111;PARIS 11
75113;PARIS 13
75114;PARIS 14
75115;PARIS 15
75116;PARIS 16
75117;PARIS 17
75118;PARIS 18
75119;PARIS 19
35216;PARTHENAY DE BRETAGNE
56154;PEILLAC
61309;PERCHE EN NOCE
50393;PERCY EN NORMANDIE
74211;PERS JUSSY
35219;PIPRIAC
29160;PLABENNEC
22171;PLAINTEL
22172;PLANCOET
35221;PLECHATEL
22176;PLEDRAN
35222;PLEINE FOUGERES
35223;PLELAN LE GRAND
22180;PLELAN LE PETIT
22182;PLELO
22186;PLENEUF VAL ANDRE
35224;PLERGUER
22187;PLERIN
35225;PLESDER
22189;PLESIDY
22190;PLESLIN TRIGAVOU
22197;PLEUDIHEN SUR RANCE
35226;PLEUGUENEUC
35227;PLEUMELEUC
22198;PLEUMEUR BODOU
35228;PLEURTUIT
56162;PLOEMEUR
56164;PLOEREN
56165;PLOERMEL
29170;PLOMELIN
22207;PLOUARET
22208;PLOUASNE
56166;PLOUAY
29183;PLOUEGAT MOYSAN
22213;PLOUER SUR RANCE
29186;PLOUEZOC H
29189;PLOUGASTEL DAOULAS
22218;PLOUGRESCANT
22222;PLOUHA
56168;PLOUHARNEL
22225;PLOUMAGOAR
22226;PLOUMILLIAU
22240;PLUMAUGAT
56177;PLUVIGNER
35229;POCE LES BOIS
2B242;POGGIO MEZZANA
78498;POISSY
86194;POITIERS
35231;POLIGNE
17284;PONT L ABBE D ARNOULT
35363;PONT PEAN
44130;PONT ST MARTIN
56178;PONTIVY
50410;PONTORSON
56180;PORCARO
22251;PORDIC
44132;PORNICHET
53182;PORT BRILLET
56181;PORT LOUIS
14516;POTIGNY
76509;PREAUX
72244;PRECIGNE
61339;PUTANGES LE LAC
35233;QUEBRIAC
35234;QUEDILLAC
56184;QUESTEMBERT
29232;QUIMPER
22262;QUINTIN
61344;RANES
35235;RANNEE
35236;REDON
50429;REGNEVILLE SUR MER
53188;RENAZE
35238;RENNES
35239;RETIERS
61349;RI
35242;RIMOU
37203;ROCHECORBON
35243;ROMAGNE
35245;ROMILLE
59512;ROUBAIX
76540;ROUEN
44146;ROUGE
27497;ROUGEMONTIERS
17306;ROYAN
35246;ROZ LANDRIEUX
56200;RUFFIAC
35248;SAINS
64499;SALIES DE BEARN
2B305;SAN MARTINO DI LOTA
59553;SANTES
35321;SAULNIERES
44194;SAUTRON
45308;SEMOY
56243;SENE
35326;SENS DE BRETAGNE
35327;SERVON SUR VILAINE
22337;SEVIGNAC
72336;SOLESMES
14675;SOLIERS
22272;ST AGATHON
22273;ST ALBAN
18197;ST AMAND MONTROND
22274;ST ANDRE DES EAUX
44151;ST ANDRE DES EAUX
21540;ST APOLLINAIRE
35250;ST ARMEL
35251;ST AUBIN D AUBIGNE
44153;ST AUBIN DES CHATEAUX
35252;ST AUBIN DES LANDES
35253;ST AUBIN DU CORMIER
56206;ST AVE
49267;ST BARTHELEMY D ANJOU
35255;ST BENOIT DES ONDES
22278;ST BRIEUC
35258;ST BRIEUC DES IFFS
35259;ST BROLADRE
56210;ST CARADEC TREGOMEL
22281;ST CARREUC
91540;ST CHERON
50461;ST CYR
78545;ST CYR L ECOLE
53211;ST DENIS DE GASTINES
35264;ST DIDIER
56212;ST DOLAY
35265;ST DOMINEUC
53213;ST ELLIER DU MAINE
35266;ST ERBLON
76575;ST ETIENNE DU ROUVRAY
29247;ST EVARZEC
35271;ST GEORGES DE REINTEMBAULT
35272;ST GERMAIN DU PINEL
35273;ST GERMAIN EN COGLES
53224;ST GERMAIN LE FOUILLOUX
35274;ST GERMAIN SUR ILLE
35275;ST GILLES
35276;ST GONDRAN
35277;ST GONLAY
35278;ST GREGOIRE
22299;ST HELEN
35280;ST HILAIRE DES LANDES
50484;ST HILAIRE DU HARCOUET
35281;ST JACQUES DE LA LANDE
56221;ST JACUT LES PINS
50487;ST JAMES
56222;ST JEAN BREVELAY
45284;ST JEAN DE BRAYE
49288;ST JEAN DE LA CROIX
56223;ST JEAN LA POTERIE
35283;ST JEAN SUR VILAINE
22305;ST JOUAN DE L ISLE
35284;ST JOUAN DES GUERETS
22306;ST JUDOCE
22307;ST JULIEN
35285;ST JUST
22308;ST JUVAT
50505;ST LOUP
35287;ST LUNAIRE
35288;ST MALO
56226;ST MALO DE BEIGNON
35289;ST MALO DE PHILY
13095;ST MARC JAUMEGARDE
35292;ST MARC LE BLANC
53238;ST MARS SUR LA FUTAIE
38421;ST MARTIN D HERES
29254;ST MARTIN DES CHAMPS
60587;ST MARTIN LONGUEAU
35295;ST MAUGAN
33449;ST MEDARD EN JALLES
35296;ST MEDARD SUR ILLE
35297;ST MEEN LE GRAND
35299;ST MELOIR DES ONDES
42265;ST MICHEL SUR RHONE
44184;ST NAZAIRE
44185;ST NICOLAS DE REDON
56231;ST NOLFF
35302;ST ONEN LA CHAPELLE
35304;ST OUEN DES ALLEUX
97415;ST PAUL
35305;ST PERAN
35307;ST PERN
56233;ST PHILIBERT
53247;ST PIERRE LA COUR
45298;ST PRYVE ST MESMIN
35309;ST REMY DU PLAIN
22327;ST SAMSON SUR RANCE
53253;ST SATURNIN DU LIMET
35310;ST SAUVEUR DES LANDES
44190;ST SEBASTIEN SUR LOIRE
35311;ST SEGLIN
35312;ST SENOUX
56236;ST SERVANT
35314;ST SULIAC
35315;ST SULPICE LA FORET
35317;ST SYMPHORIEN
35318;ST THUAL
35319;ST THURIAL
35320;ST UNIAC
40284;ST VINCENT DE TYROSSE
22333;ST VRAN
35249;STE ANNE SUR VILAINE
35262;STE COLOMBE
69202;STE FOY LES LYON
85216;STE GEMME LA PLAINE
44172;STE LUCE SUR LOIRE
35294;STE MARIE
67482;STRASBOURG
44201;SUCE SUR ERDRE
56248;SURZUR
35330;TAILLIS
35331;TALENSAC
56249;TAUPONT
35332;TEILLAY
14685;THAON
56251;THEIX NOYALO
18263;THENIOUX
35334;THORIGNE FOUILLARD
44204;THOUARE SUR LOIRE
35335;THOURIE
35337;TINTENIAC
35338;TORCE
54528;TOUL
37261;TOURS
22341;TRAMAIN
35340;TREFFENDEL
35342;TREMEHEUC
22371;TREMOREL
35343;TRESBOEUF
35345;TREVERIEN
22380;TREVRON
35346;TRIMER
35347;VAL D IZE
54547;VANDOEUVRE LES NANCY
56260;VANNES
14739;VER SUR MER
37267;VERETZ
35350;VERGEAL
35352;VERN SUR SEICHE
49368;VERNANTES
78642;VERNEUIL SUR SEINE
44215;VERTOU
35353;VEZIN LE COQUET
60674;VIEUX MOULIN
35355;VIEUX VY SUR COUESNON
35356;VIGNOC
22388;VILDE GUINGALAN
35357;VILLAMEE
77516;VILLE ST JACQUES
69264;VILLEFRANCHE SUR SAONE
33550;VILLENAVE D ORNON
44218;VILLEPOT
54578;VILLERS LES NANCY
94080;VINCENNES
35359;VISSEICHE
35360;VITRE
22389;YFFINIAC
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
