text,FE.ADEME.ID,FE.VAL,FE.Incertitude
nonadecafluoroundecan ol,43065,0.27,0.3
pentadecafluorononan ol,43066,0.45,0.3
tetrafluorocyclobutene,43067,25.6,0.3
trifluorobutan l ol,43068,0.05,0.3
abondance,32989,6.27,1.0
abricot conventionnel moyenne nationale,43810,0.25,1.0
abricot denoyaute,40230,0.884,1.0
abricot denoyaute cru,33036,0.862,1.0
abricot denoyaute sec,33090,2.65,1.0
abricot au sirop appertise,40228,0.951,1.0
abricot au sirop appertise egoutte,33027,1.22,1.0
abricot au sirop appertise non egoutte,33028,0.612,1.0
abricot au sirop leger appertise,40226,0.936,1.0
abricot au sirop leger appertise egoutte,33025,1.22,1.0
abricot au sirop leger appertise non egoutte,33026,0.612,1.0
accra de poisson,33950,5.25,1.0
acide chlorhydrique,20851,1199.0,0.5
acide citrique monohydrate,20572,3300.0,0.5
acide d l tartrique,20570,3300.0,0.5
acide nitrique,20666,3180.0,1.0
acide phosphorique,20848,1424.0,0.5
acide sorbique,20569,807.0,0.5
acide sulfurique,20850,148.0,0.5
acier ou fer blanc,20530,3190.0,0.1
adhesif epoxy melange,24253,6.87,1.0
adhesif epoxy simple a composants,24254,3.11,1.0
agar algue cru,39594,6.77,1.0
agglomeres de houille,12892,0.369,0.1
agneau biologique,42289,12.6,1.0
agneau biologique aquitaine,28605,12.6,1.0
agneau biologique ile de france,28606,25.4,1.0
agneau biologique systeme n,28604,15.0,1.0
agneau biologique systeme numero,44039,15.0,1.0
agneau collier,41386,52.2,1.0
agneau collier braise ou bouilli,34344,62.7,1.0
agneau collier cru,34237,49.6,1.0
agneau conventionnel,42031,4.34,1.0
agneau conventionnel moyenne nationale aliments pour animaux,28365,5.29,1.0
agneau conventionnel panifiable d humidite,28364,19.6,1.0
agneau conventionnel systeme roquefort,43812,4.69,1.0
agneau cote filet,41388,41.3,1.0
agneau cote filet crue,34239,49.6,1.0
agneau cote filet grillee poelee,34345,62.7,1.0
agneau cote premiere,41390,41.3,1.0
agneau cote premiere crue,34240,49.6,1.0
agneau cote premiere grillee poelee,34346,62.7,1.0
agneau cotelette,41392,41.3,1.0
agneau cotelette crue,34233,39.6,1.0
agneau cotelette grillee,34340,50.1,1.0
agneau epaule,41394,33.0,1.0
agneau epaule crue,34235,39.6,1.0
agneau epaule maigre crue,34236,39.6,1.0
agneau epaule maigre rotie cuite au four,34343,50.1,1.0
agneau epaule rotie cuite au four,34342,50.1,1.0
agneau gigot,41398,52.2,1.0
agneau gigot braise,34349,62.7,1.0
agneau gigot cru,34234,49.6,1.0
agneau gigot grille poele,34348,62.7,1.0
agneau gigot roti cuit au four,34341,62.7,1.0
agneau selle,41402,41.3,1.0
agneau selle crue,34238,49.6,1.0
agneau selle partie maigre grillee poelee,34350,62.7,1.0
agneau selle partie maigre rotie cuite au four,34347,62.7,1.0
agneau systeme de production conventionnel en interieur,43811,16.3,1.0
agneau systeme de production conventionnel interieur,42030,16.3,1.0
ail cru,33200,0.375,1.0
ail seche poudre,33206,0.821,1.0
aimant alnico,24245,25.9,1.0
aimant ndfeb,24244,33.3,1.0
albacore biologique systeme n,28559,4.25,1.0
alcool,20852,1467.0,0.25
alcool fort,32570,1.15,1.0
alcool pur,32575,1.16,1.0
algue crue ou sechee ou deshydratee,32550,6.55,1.0
algue de l association de cultures biologique systeme n,28453,0.106,1.0
algue production non optimisee kg d algues laminaria,43813,0.866,1.0
algue production optimisee kg d algues laminaria,43814,0.104,1.0
aligot puree de pomme de terre a la tomme fraiche,33682,4.05,1.0
alimentation,26743,136.0,0.5
allyl cyanide,43627,0.0,0.3
allyl ether,43069,0.0,0.3
allyl ethyl ether,43070,0.0,0.3
aluminium,20531,9827.0,0.3
aluminium primaire produit en france,37156,5193.0,0.4
amande avec peau,40232,2.7,1.0
amande,33099,5.76,1.0
amande grillee,40233,2.7,1.0
amande grillee salee,44297,2.63,1.0
amande mondee,40234,2.7,1.0
amande mondee emondee ou blanchie,44298,2.63,1.0
amarante crue,33575,0.872,1.0
amidon de mais ou fecule de mais,32907,1.22,1.0
ammoniaque anhydre,20854,2967.0,0.3
ammonitrate,20855,2588.0,0.3
ananas la production mixte,42034,0.868,1.0
ananas medsea palangre moyenne,28430,0.334,1.0
ananas production mixte,43815,1.34,1.0
ananas pulpe,40239,1.3,1.0
ananas pulpe cru,33037,1.15,1.0
ananas au sirop et jus d ananas appertise,40235,1.43,1.0
ananas au sirop et jus d ananas appertise egoutte,33029,1.52,1.0
ananas au sirop et jus d ananas appertise non egoutte,33030,0.802,1.0
ananas au sirop leger appertise,40237,1.44,1.0
ananas au sirop leger appertise egoutte,33031,1.52,1.0
ananas au sirop leger appertise non egoutte,33032,0.802,1.0
anchois engraulise encrasicolus senne,43816,0.485,1.0
anchois filets a l huile,41408,1.77,1.0
anchois filets a l huile semi conserve egoutte,33953,1.97,1.0
anchois filets roules aux capres,41409,1.77,1.0
anchois filets roules aux capres semi conserve egoutte,33952,1.97,1.0
anchois au sel anchoite semi conserve,33974,2.16,1.0
anchois commun cru,33789,2.16,1.0
anchois commun marine,33978,2.02,1.0
anchois europeen biologique systeme n,28563,0.45,1.0
anchois europeenne la cea,42035,0.443,1.0
andouille,41410,16.2,1.0
andouille rechauffee a la poele,41413,16.2,1.0
andouille de guemene,41411,16.2,1.0
andouille de vire,41412,16.2,1.0
andouillette crue,41415,16.1,1.0
andouillette sautee poelee,41416,16.2,1.0
andouillette de troyes crue,41414,16.1,1.0
andouillette andouille,32722,16.0,1.0
aneth frais,39597,0.815,1.0
anthracite,12899,107.0,0.2
ao nori enteromorpha sp sechee ou deshydratee,39598,6.77,1.0
aperitif a base de vin ou vermouth,32572,1.05,1.0
appareil a raclettes p,28312,16.8,0.5
appareil photo compact,27030,24.4,0.5
appareil photo hybride,27029,29.0,0.5
appareil photo reflex,27028,30.6,0.5
arachide bouillie cuite a l eau,40240,4.26,1.0
arachide bouillie cuite a l eau salee,33124,9.76,1.0
arbuste potted prairie permanente avec trefle region du nord ouest,28403,1.0,1.0
armoire representative,26963,907.0,0.2
artichaut appertise,33374,3.28,1.0
artichaut appertise egoutte,44322,2.02,1.0
artichaut coeur,40242,1.85,1.0
artichaut coeur appertise egoutte,44323,2.02,1.0
artichaut cru,33268,3.97,1.0
artichaut cuit,33342,3.01,1.0
artichaut fond,40245,1.97,1.0
artichaut fond appertise egoutte,33392,1.37,1.0
artichaut fond surgele cru,33325,2.6,1.0
articule a tonnes,28041,0.0823,0.7
articule m,28050,0.0347,0.7
articule tonnes,28040,0.0853,0.7
ascophylle noueux ou goemon noir ascophyllum nodosum seche ou deshydrate,39599,6.58,1.0
asiago,33009,6.27,1.0
asperge appertisee,40247,1.16,1.0
asperge appertisee egouttee,33377,2.31,1.0
asperge blanche ou violette,40248,1.56,1.0
asperge blanche ou violette pelee crue,44331,1.64,1.0
asperge bouillie cuite a l eau,33343,2.25,1.0
asperge crue,33337,1.39,1.0
asperge pelee,40250,1.43,1.0
asperge pelee crue,44333,1.51,1.0
asperge verte,40251,1.56,1.0
asperge verte crue,44334,1.64,1.0
aspirateur menager avec sac,26990,47.3,0.3
aspirateur menager sans sac,26991,52.4,0.3
aspirateur professionnel a traineaux,26996,83.0,0.3
agences de voyage voyagistes reservations,43511,166.0,0.8
aubergine crue,33269,5.31,1.0
aubergine cuite,33344,6.72,1.0
autobus agglomerations de a habitants,21595,1.65,0.6
autobus agglomerations de moins de habitants,21597,1.44,0.6
autobus agglomerations de plus de habitants,21593,1.73,0.6
autobus electrique,28003,0.0217,0.7
autobus gazole,28004,0.113,0.6
autobus gnv,28005,0.122,0.6
autobus hybride parallele,28001,0.0743,0.7
autobus hybride serie,28002,0.0711,0.7
autobus moyen agglomeration de a habitants,27999,0.147,0.6
autobus moyen agglomeration de plus de habitants,28000,0.151,0.6
autobus moyen agglomeration moins de habitants,27998,0.202,0.6
autocar gazole,28006,0.0295,0.6
autres acides et sels d acides,20568,3300.0,0.5
arts spectacles musees bibliotheques jeux de hasard,43456,116.0,0.8
assurance reassurance retraites hors securite sociale,43471,89.0,0.8
autres materiels de transport,43296,283.0,0.8
autres produits petroliers,13848,0.29,0.05
autres produits manufactures,43361,262.0,0.8
autres produits mineraux non metalliques,43301,1150.0,0.8
avion marchandises sieges trajet de km,21196,3.74,0.5
avion marchandises liaison inter iles,21260,1.12,0.2
avion marchandises plus de sieges trajet de km,21242,1.18,0.5
avion marchandises plus de sieges trajet de plus de km,21243,1.22,0.5
avion marchandises transport regional,21261,1.61,0.2
avion voyageurs sieges trajet de km,21768,0.374,0.5
avion voyageurs plus de sieges trajet de km,21795,0.118,0.5
avion voyageurs transport regional,21835,0.176,0.2
avion cargo a tonnes kms,28057,3.47,0.7
avion cargo plus de tonnes kms,43668,2.87,0.7
avion passagers sieges kms,43672,1.85,0.7
avion passagers sieges kms jet,28082,3.05,0.7
avion passagers sieges kms turboprop,28068,3.67,0.7
avion passagers court courrier,28096,2.59,0.7
avion passagers long courrier,28100,1.51,0.7
avion passagers moyen courrier,28098,1.87,0.7
avocat pulpe,40254,1.48,1.0
avocat pulpe cru,33250,2.75,1.0
avoine alimentation animale moyenne nationale,43817,0.555,1.0
avoine conventionnel moyenne nationale pour alimentation animale,28388,0.368,1.0
avoine crue,33571,1.22,1.0
avoine moyenne nationale,42036,0.549,1.0
avoine d hiver biologique,42293,0.519,1.0
avoine d hiver biologique systeme n,28654,0.336,1.0
avoine d hiver biologique systeme numero,44042,0.953,1.0
avoine de printemps biologique,44041,0.372,1.0
avoine de printemps de l association de cultures biologique,28637,0.216,1.0
baba au rhum preemballe,33133,0.868,1.0
bagel,33540,0.747,1.0
baies de disques,20893,15.5,0.4
baklava ou baklawa patisserie orientale aux amandes et sirop,33145,4.3,1.0
baladeurs numeriques non tactiles,27014,1.98,0.5
baladeurs numeriques tactiles,27015,7.2,0.5
ballon de basket ball,27039,4.6,0.3
ballon de football,27038,4.12,0.3
ballon de volley ball,27040,2.25,0.3
ballon electrique chauffe eau l,28324,160.0,0.5
ballot de foin de l association de cultures biologique systeme n,28481,0.196,1.0
ballot de foin prairie permanente,42294,0.109,1.0
ballot de foin prairie permanente biologique systeme numero,44046,0.0575,1.0
ballot de foin prairie permanente biologique vache allaitante et boeuf systeme d engraissement numero,44051,0.0213,1.0
ballot de foin prairie temporaire,42304,0.251,1.0
ballot de foin prairie temporaire biologique systeme numero,44045,0.189,1.0
bambou pousse,40255,1.08,1.0
bambou pousse crue,33311,1.37,1.0
bambou pousses,40256,1.68,1.0
bambou pousses appertisees egouttees,33397,2.29,1.0
banane conventionnelle,43818,0.178,1.0
banane prairie permanente sans trefle auvergne,28417,0.225,1.0
banane pulpe,40259,0.883,1.0
banane pulpe crue,33038,1.87,1.0
banane pulpe seche,33095,5.09,1.0
banane conventionnelle antilles a la ferme wi u,42037,0.219,1.0
banane plantain crue,33341,0.799,1.0
banane plantain cuite,33931,1.86,1.0
banol,20561,9.2,0.5
bar cru,33834,9.14,1.0
bar commun ou loup mediterranee cru,41417,12.7,1.0
bar commun ou loup mediterranee cru elevage,44348,12.3,1.0
bar commun ou loup mediterranee cru sauvage,44349,10.1,1.0
bar commun ou loup cru,41419,12.7,1.0
bar commun ou loup cru sans precision,44350,12.3,1.0
bar commun ou loup roti cuit au four,33897,14.5,1.0
bar ou daurade g,42038,4.8,1.0
bar ou daurade g conventionnel en cage,28359,4.72,1.0
bar ou daurade conventionnel g,43819,4.54,1.0
bar ou loup de l atlantique cru,33787,11.9,1.0
bar raye ou bar d amerique cru,41422,12.7,1.0
barre a la noix de coco enrobee de chocolat,32824,4.73,1.0
barre biscuitee fourree aux fruits allegee en matiere grasse,32668,3.4,1.0
barre cerealiere aux amandes ou noisettes,32638,5.05,1.0
barre cerealiere aux fruits,32637,3.57,1.0
barre cerealiere chocolatee,32636,7.72,1.0
barre cerealiere equilibre aux fruits enrichie en vitamines et mineraux,40963,2.46,1.0
barre cerealiere equilibre chocolatee enrichie en vitamines et mineraux,40964,6.09,1.0
barre cerealiere pour petit dejeuner au lait chocolatee ou non,40968,6.09,1.0
barre cerealiere pour petit dejeuner au lait chocolatee ou non enrichie en vitamines et mineraux,32635,7.72,1.0
barre chocolat au lait avec nougat,32842,4.73,1.0
barre chocolatee aux fruits secs,32836,4.73,1.0
barre chocolatee biscuitee,32822,8.3,1.0
barre chocolatee non biscuitee enrobee,32823,7.14,1.0
barre de son,27034,40.2,0.3
barre glacee chocolatee,40652,1.75,1.0
barre gouter frais au lait et chocolat,32838,8.13,1.0
barre gouter frais au lait et chocolat avec genoise,32843,8.13,1.0
barres ou confiserie chocolatees au lait,32828,8.13,1.0
base de pizza a la creme,33236,4.0,1.0
base de pizza tomatee,33237,0.774,1.0
basilic frais,39602,0.815,1.0
basilic seche,39603,1.55,1.0
basilic conventionnel avril plant horticole,34811,0.3,0.3
basilic conventionnel mai plant horticole,34812,0.26,0.3
basilic intrants durables avril plant horticole,34814,0.2,0.3
basilic intrants durables mai plant horticole,34815,0.17,0.3
basket ballon,20639,3.0,1.0
basket panier exterieur avec socle en beton exterieur avec socle en beton,20640,1900.0,1.0
basket panier interieur fixe avec socle en beton interieur fixe avec socle en beton,20558,1700.0,1.0
bateau automoteur a tpl,28254,0.0298,0.7
bateau automoteur tpl,28251,0.033,0.7
bateau automoteur capacite comprise entre et tonnes de port en lourd,21469,0.0498,0.7
bateau automoteur capacite egale ou superieure a tonnes de port en lourd,21468,0.052,0.7
bateau automoteur capacite inferieure a tonnes de port en lourd,21472,0.0958,0.7
bateau pousseur kw,28257,0.0326,0.7
bateau pousseur puissance comprise entre et kw,21466,0.0359,0.7
bateau pousseur puissance inferieure a kw,21467,0.027,0.7
bateau pousseur puissance superieure ou egale a kw hors transport de conteneurs,21465,0.0408,0.7
bateau pousseur puissance superieure ou egale a kw transport de conteneurs,21464,0.0751,0.7
batiment agricole structure en beton,20728,656.0,0.5
batiment agricole structure metallique,20729,220.0,0.5
batiment industriel structure en beton,20730,825.0,0.5
batiment industriel structure metallique,20731,275.0,0.5
batiments de bureaux,24302,650.0,0.5
batonnet pane soja et ble convient aux veganes ou vegetaliens preemballee,44374,1.79,1.0
beaufort,32987,6.27,1.0
beignet a la confiture,33181,1.41,1.0
beignet de crevette,33946,2.66,1.0
beignet de legumes,33705,1.41,1.0
beignet de viande volaille ou poisson,39936,6.04,1.0
beignet de viande volaille ou poisson fait maison,32942,5.46,1.0
beignet fourre aux fruits preemballe,33182,2.63,1.0
beignet fourre gout chocolat preemballe,33183,5.97,1.0
beignet rond moelleux sans fourrage,40972,1.58,1.0
beignet rond moelleux sans fourrage saupoudre de sucre,33180,1.43,1.0
bentonite kaolin,20575,1100.0,0.5
beton c cem ii,20719,88.0,0.2
beton arme,20720,367.0,0.2
beton arme continu routier,20711,200.0,0.2
beton de ciment routier,20710,134.0,0.2
bette ou blette crue,33251,0.48,1.0
bette ou blette cuite,33346,1.2,1.0
betterave industrielle,22786,441.0,0.3
betterave pour du jus conventionnel,43820,0.077,1.0
betterave rouge crue,33289,0.249,1.0
betterave rouge cuite,33345,0.872,1.0
betteraves de l association de cultures biologique systeme n,28456,0.0286,1.0
betteraves moyen conventionnel,42040,0.0386,1.0
betteraves moyen conventionnel national alimentation animale,43821,0.0384,1.0
beurre,32566,15.5,1.0
beurre a mg leger,40900,6.25,1.0
beurre a mg leger doux,44387,6.29,1.0
beurre a mg a teneur reduite en matiere grasse,40901,7.2,1.0
beurre a mg a teneur reduite en matiere grasse demi sel,44388,7.25,1.0
beurre a mg a teneur reduite en matiere grasse doux,44389,7.28,1.0
beurre a mg demi sel,40903,7.82,1.0
beurre a mg sale,40904,7.82,1.0
beurre a mg doux,40905,7.89,1.0
beurre a mg doux tendre,44393,7.94,1.0
beurre de cacahuete ou pate d arachide,33122,3.31,1.0
beurre de cacao,33209,26.6,1.0
bicarbonate de soude,33232,1.19,1.0
biere,32567,1.09,1.0
biere brune,39792,1.12,1.0
biere coeur de marche alcool,39789,1.12,1.0
biere de specialites ou d abbaye regionales ou d une brasserie degre d alcool variable,39790,1.12,1.0
biere faiblement alcoolisee alcool,39793,1.12,1.0
biere forte alcool,39794,1.12,1.0
biere sans alcool alcool,44403,1.35,1.0
biere speciale alcool,39791,1.12,1.0
biodiesel changement d affectation des sols scenario maximum,14245,0.781,0.2
biodiesel changement d affectation des sols scenario optimiste,14250,0.0484,0.2
biodiesel filiere colza,34429,0.0373,0.2
biodiesel filiere emga,34434,0.0084,0.2
biodiesel filiere emhau,34433,0.0087,0.2
biodiesel filiere hvp,34435,0.0318,0.2
biodiesel filiere palme,34432,0.0218,0.2
biodiesel filiere soja,34431,0.0221,0.2
biodiesel filiere tournesol,34430,0.0251,0.2
biodiesel mix moyen,14247,0.217,0.2
biodiesel sans changement d affectation des sols,14255,0.111,0.2
bioethanol changement d affectation des sols scenario maximum,14260,0.816,0.2
bioethanol changement d affectation des sols scenario optimiste,14265,0.122,0.2
bioethanol sans changement d affectation des sols,14270,0.145,0.2
biognc biomethane comprime pour vehicule routier,28295,0.0476,0.7
biognl carburant,27061,0.0866,0.3
biomethane injecte dans les reseau,27083,0.0164,0.7
biomethane injecte dans les reseaux,27958,0.0445,0.2
biopropane a base d huile de colza,25784,1.84,0.2
biopropane a base d huile de palme avec capture de methane,25782,0.904,0.2
biopropane a base d huile de palme sans capture de methane,25783,1.07,0.2
biopropane a base d huile de tournesol,25787,1.23,0.2
biopropane a base d huiles de cuisson,25785,0.212,0.2
biopropane a base de distillat d acides gras d huile de palme comme residu,25788,0.181,0.2
biopropane a base de graisses animales,25786,0.649,0.2
biopropane mix annuel,25781,0.944,0.2
biscotte briochee,40973,0.95,1.0
biscotte classique,40974,0.95,1.0
biscotte complete ou riche en fibres,40975,0.95,1.0
biscotte multicereale,40976,0.95,1.0
biscotte sans adjonction de sel,40977,0.95,1.0
biscottes,33510,0.867,1.0
biscuit aperitif,32645,1.87,1.0
biscuit aperitif crackers,40984,1.59,1.0
biscuit aperitif crackers garni ou fourre au fromage,44415,1.54,1.0
biscuit aperitif crackers nature,44416,1.54,1.0
biscuit aperitif crackers nature allege en matiere grasse,44417,1.54,1.0
biscuit aperitif mini bretzel ou sticks,40987,1.59,1.0
biscuit aperitif a base de pomme de terre type tuile salee,40978,1.59,1.0
biscuit aperitif feuillete,40979,1.59,1.0
biscuit aperitif souffle a base de mais,40980,1.59,1.0
biscuit aperitif souffle a base de mais a la cacahuete,44411,1.54,1.0
biscuit aperitif souffle a base de mais sans cacahuete,44412,1.54,1.0
biscuit aperitif souffle a base de pomme de terre,40982,1.59,1.0
biscuit aperitif souffle a base de pomme de terre et de soja,40983,1.59,1.0
biscuit aux cereales pour petit dejeuner enrichis en vitamines et mineraux,32670,4.44,1.0
biscuit de savoie,33139,2.25,1.0
biscuit moelleux fourre a l orange et enrobe de sucre glace,32701,3.4,1.0
biscuit patissier meringue,32676,1.49,1.0
biscuit pour bebe,32715,1.49,1.0
biscuit sec genoise nappage aux fruits type barquette,32699,3.4,1.0
biscuit sec avec chocolat,32667,8.6,1.0
biscuit sec avec matiere grasse vegetale,32656,4.44,1.0
biscuit sec petits fours en assortiment,32657,5.32,1.0
biscuit sec sable,41025,2.29,1.0
biscuit sec sable galette ou palet aux fruits,32673,3.4,1.0
biscuit sec sans precision,32649,4.44,1.0
biscuit sec a teneur garantie en vitamines,32651,1.49,1.0
biscuit sec a teneur garantie en vitamines et mineraux,32652,4.44,1.0
biscuit sec au beurre sable,40995,3.23,1.0
biscuit sec au beurre sable galette ou palet,32671,1.85,1.0
biscuit sec au beurre sable galette ou palet au chocolat,32672,7.55,1.0
biscuit sec au lait,32660,3.53,1.0
biscuit sec aux fruits hyposode,32653,3.4,1.0
biscuit sec aux oeufs a la cuillere cuiller ou boudoir,32692,1.49,1.0
biscuit sec aux ufs a la cuillere cuiller ou boudoir,44431,2.2,1.0
biscuit sec avec nappage chocolat,41000,6.74,1.0
biscuit sec avec tablette de chocolat,41001,6.74,1.0
biscuit sec chocolate,32665,7.55,1.0
biscuit sec chocolate preemballe,41002,5.92,1.0
biscuit sec chocolate type barquette,41003,5.92,1.0
biscuit sec chocolate type galette,41004,5.92,1.0
biscuit sec chocolate type tartelette,41005,5.92,1.0
biscuit sec croquant ex tuile sans chocolat allege en matiere grasse,32661,4.88,1.0
biscuit sec croquant au chocolat allege en matiere grasse,41007,5.92,1.0
biscuit sec feuillete type palmier ou autres,32697,4.95,1.0
biscuit sec fourre a la pate ou puree de fruits,32666,3.4,1.0
biscuit sec fourre aux fruits allege en matiere grasse,32654,3.4,1.0
biscuit sec fourre fruits a coque non ou legerement chocolate,32674,4.88,1.0
biscuit sec nappe aux fruits tartelette,32700,3.4,1.0
biscuit sec nature,32650,4.44,1.0
biscuit sec ou tuile aux amandes,32695,4.88,1.0
biscuit sec pauvre en glucides,32705,4.44,1.0
biscuit sec petit beurre,32658,3.53,1.0
biscuit sec petit beurre au chocolat,32659,7.55,1.0
biscuit sec pour petit dejeuner,32662,4.44,1.0
biscuit sec pour petit dejeuner allege en sucres,32663,4.44,1.0
biscuit sec pour petit dejeuner au chocolat,32669,7.55,1.0
biscuit sec type langue de chat ou cigarette russe,32693,5.32,1.0
biscuit sec type tuile aux fruits,32696,4.7,1.0
bisulfite de potassium,20576,1470.0,0.5
bitumes,13854,0.319,0.05
blanquette de veau,33756,16.4,1.0
ble dur,22787,294.0,0.3
ble tendre,22788,294.0,0.3
ble d hiver association de cultures,42311,0.451,1.0
ble d hiver association de cultures biologique systeme numero,44067,0.907,1.0
ble d hiver biologique,42315,0.346,1.0
ble d hiver biologique systeme n,28659,0.358,1.0
ble d hiver biologique systeme numero,44075,0.793,1.0
ble d hiver de l association de cultures biologique systeme n,28655,0.956,1.0
ble de khorasan cru,33564,0.453,1.0
ble de printemps association de cultures,42309,0.325,1.0
ble de printemps association de cultures biologique systeme numero,44058,0.401,1.0
ble de printemps biologique systeme n,28638,0.822,1.0
ble dur hors sol faible chauffe lutte ravageur integree,28375,0.431,1.0
ble dur conventionnel,42041,0.731,1.0
ble dur conventionnel moyenne nationale,43822,0.733,1.0
ble dur entier cru,33566,0.872,1.0
ble dur precuit entier,41029,1.16,1.0
ble dur precuit entier cru,33567,0.872,1.0
ble dur precuit grains entiers,39939,0.516,1.0
ble dur precuit grains entiers cuisine a poeler,33659,0.405,1.0
ble dur precuit grains entiers cuit non sale,33593,0.486,1.0
ble dur precuit cuisine en sachet micro ondable,33658,0.365,1.0
ble tendre biologique systeme n,28628,0.169,1.0
ble tendre conventionnel,42042,0.641,1.0
ble tendre conventionnel ameliorant proteine d humidite,43823,0.652,1.0
ble tendre conventionnel melange de varietes moyenne nationale,28391,0.311,1.0
ble tendre conventionnel moyenne nationale alimentation animale,43824,0.472,1.0
ble tendre conventionnel panifiable d humidite,43825,0.473,1.0
ble tendre conventionnel pour le marche frais autres varietes,28390,0.285,1.0
ble tendre conventionnel pour le marche frais varietes a chair ferme,28389,0.306,1.0
ble tendre de l association de cultures biologique,28629,0.265,1.0
ble tendre levier culture intermediaire systematique du scenario,43826,0.445,1.0
ble tendre levier legumineuse dans rotation,43827,0.429,1.0
