Nomenclature achat;"Famille d'achat
(N-0)";"Domaines d'achat
(N-1)";"Catégories d'achat
(N-2)";"Segments  d'achat
(N-3)";Sous-segment;Produit élémentaire;"Code des Catégories Homogènes 
de fournitures et prestations"
DA50CB02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE;NUTRITION ENTERALE SONDE JEJUNOSTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CB03;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE;NUTRITION ENTERALE BOUTON JEJUNOSTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CB04;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE;NUTRITION ENTERALE SONDE NASOJEJUNALE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CB05;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE;NUTRITION ENTERALE SET GASTROSTOMIE DILATATION;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CB06;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE;NUTRITION ENTERALE ANCRE CECOSTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50CB98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE VOIE PERCUTANEE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE;NUTRITION ENTERALE DISPOSITIF JEJUNOSTOMIE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE SERINGUE A GAVAGE STANDARD;SERINGUE 3 PIECES EMBOUT SONDE STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE TUBULURE STANDARD;TUBULURE STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DC01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE POMPE STANDARD;POMPE NUTRITION ENTERALE STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DD01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE POCHE STANDARD ;POCHE HYDRATATION STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DD02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE POCHE STANDARD ;POCHE NUTRIMENTS STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DD98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE POCHE STANDARD ;NUTRITION ENTERALE POCHE STANDARD COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DD99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE POCHE STANDARD ;NUTRITION ENTERALE POCHE STANDARD AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50DZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE ACCESSOIRE STANDARD;NUTRITION ENTERALE ACCESSOIRE STANDARD AUTRE;NUTRITION ENTERALE ACCESSOIRE STANDARD AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50EA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE SECURISEE ACCESSOIRE;NUTRITION ENTERALE SERINGUE GAVAGE SECURISEE;SERINGUE 3 PIECES EMBOUT SONDE SECURISEE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50EB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE SECURISEE ACCESSOIRE;NUTRITION ENTERALE TUBULURE SECURISEE;NUTRITION ENTERALE TUBULURE SECURISEE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50EZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE SECURISEE ACCESSOIRE;NUTRITION ENTERALE ACCESSOIRE SECURISE AUTRE;NUTRITION ENTERALE ACCESSOIRE SECURISE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA50ZZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ALIMENTATION ENTERALE;NUTRITION ENTERALE AUTRE;NUTRITION ENTERALE AUTRE;NUTRITION ENTERALE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51AA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE PAR COMPRESSION;HEMOSTASE PAR SONDE BALLON;SONDE COMPRESSION 1 BALLON VARICE OESOPHAGE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51AA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE PAR COMPRESSION;HEMOSTASE PAR SONDE BALLON;SONDE COMPRESSION 2 BALLONS VARICE OESOPHAGE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51BA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR SCLEROSE;HEMOSTASE ENDOSCOPIQUE PAR SCLEROSE VARICE;AIGUILLE SCLEROSE VARICE OESOPHAGE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51BA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR SCLEROSE;HEMOSTASE ENDOSCOPIQUE PAR SCLEROSE VARICE;AIGUILLE SCLEROSE VARICE COLON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51BA03;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR SCLEROSE;HEMOSTASE ENDOSCOPIQUE PAR SCLEROSE VARICE;AIGUILLE SCLEROSE VARICE ET INJECTION;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51BZ01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR SCLEROSE;HEMOSTASE PAR SCLEROSE DIVERS;ALLONGE DE SERINGUE SCLEROSE HEMORROIDE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51CA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR LIGATURE;HEMOSTASE ENDOSCOPIQUE PAR LIGATURE VARICE;LIGATURE VARICE DIGESTIVE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51CB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR LIGATURE;HEMOSTASE ENDOSCOPIQUE PAR LIGATURE POLYPE;LIGATURE POLYPE DIGESTIF;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51CD01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR LIGATURE;HEMOSTASE PAR LIGATURE HEMORROIDE;LIGATURE HEMORROIDE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51DA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR CLIP;HEMOSTASE ENDOSCOPIQUE PAR CLIP VARICE;CLIP VARICE DIGESTIVE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51DA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR CLIP;HEMOSTASE ENDOSCOPIQUE PAR CLIP VARICE;APPLICATEUR CLIP VARICE DIGESTIVE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51EA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR HEMOSTATIQUE;HEMOSTATIQUE ENDOSCOPIQUE VARICE DIGESTIVE;HEMOSTATIQUE POUDRE VARICE DIGESTIVE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51EA99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE ENDOSCOPIQUE PAR HEMOSTATIQUE;HEMOSTATIQUE ENDOSCOPIQUE VARICE DIGESTIVE;HEMOSTATIQUE AUTRE POUR VARICE DIGESTIVE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA51ZZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF HEMOSTASE;TRACTUS DIGESTIF HEMOSTASE AUTRE TECHNIQUE;TRACTUS DIGESTIF HEMOSTASE AUTRE TECHNIQUE;TRACTUS DIGESTIF HEMOSTASE AUTRE TECHNIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52AA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD GASTRODUODENAL;SONDE GASTRODUODENALE;SONDE GASTRODUODENALE SIMPLE COURANT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52AA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD GASTRODUODENAL;SONDE GASTRODUODENALE;SONDE GASTRODUODENALE DOUBLE COURANT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52AA03;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD GASTRODUODENAL;SONDE GASTRODUODENALE;SONDE GASTRODUODENALE SIMPLE COURANT AIMANTEE EXTREMITE FERMEE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52AA04;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD GASTRODUODENAL;SONDE GASTRODUODENALE;SONDE GASTRODUODENALE SIMPLE COURANT AIMANTEE EXTREMITE OUVERTE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52AC01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD GASTRODUODENAL;TUBE LAVAGE GASTRIQUE (TUBE DE FAUCHER );TUBE LAVAGE GASTRIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52AD01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD GASTRODUODENAL;SONDE INTESTINALE;SONDE INTESTINALE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52DA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD RECTAL;SONDE RECTALE ;SONDE RECTALE ;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52DB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;ASPIRATION IRRIGATION ABORD RECTAL;SET A LAVEMENT ;SET A LAVEMENT ;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA52ZZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF ASPIRATION IRRIGATION;TRACTUS DIGESTIF ASPIRATION IRRIGATION AUTRE;TRACTUS DIGESTIF ASPIRATION IRRIGATION AUTRE;TRACTUS DIGESTIF ASPIRATION IRRIGATION AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53AA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE CHIRURGICAL;DRAINAGE HEPATIQUE DRAIN BILIAIRE CHIRURGICAL;DRAIN BILIAIRE CHIRURGICAL;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53AA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE CHIRURGICAL;DRAINAGE HEPATIQUE DRAIN BILIAIRE CHIRURGICAL;DRAIN BILIAIRE CHIRURGICAL AVEC MANDRIN;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53AB02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE CHIRURGICAL;DRAINAGE HEPATIQUE DISPOSITIF DE RECUEIL;FLACON DRAINAGE CHIRURGICAL DRAIN TUBULURE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53AB03;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE CHIRURGICAL;DRAINAGE HEPATIQUE DISPOSITIF DE RECUEIL;FLACON DRAINAGE CHIRURGICAL TUBULURE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53AB04;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE CHIRURGICAL;DRAINAGE HEPATIQUE DISPOSITIF DE RECUEIL;FLACON DRAINAGE CHIRURGICAL ;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53AC01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE CHIRURGICAL;POCHE ASPIRATION DRAINAGE HEPATIQUE CHIRURGICAL;POCHE ASPIRATION DRAINAGE HEPATIQUE CHIRURGICAL;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53AD01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE CHIRURGICAL;DRAINAGE HEPATIQUE ACCESSOIRE;DRAINAGE HEPATIQUE ACCESSOIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53BA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;DRAINAGE HEPATIQUE ENDOSCOPIQUE;DRAINAGE BILIAIRE ENDOSCOPIQUE;DRAIN BILIAIRE ENDOSCOPIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA53ZZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DRAINAGE;TRACTUS DIGESTIF DRAINAGE AUTRE;TRACTUS DIGESTIF DRAINAGE AUTRE;TRACTUS DIGESTIF DRAINAGE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54AA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION ŒSOPHAGE;BOUGIE DILATATION ŒSOPHAGE;BOUGIE DILATATION ŒSOPHAGE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54AB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION ŒSOPHAGE;CATHETER BALLON DILATATION OESOPHAGE;CATHETER BALLON DILATATION OESOPHAGE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54AB02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION ŒSOPHAGE;CATHETER BALLON DILATATION OESOPHAGE;CATHETER BALLON DILATATION OESOPHAGE ACHALASIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54AZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION ŒSOPHAGE;TRACTUS DIGESTIF DILATATION OESOPHAGE AUTRE TECHNIQUE;TRACTUS DIGESTIF DILATATION OESOPHAGE AUTRE TECHNIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54BA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION BILIAIRE INTRAHEPATIQUE;BOUGIE DILATATION BILIAIRE;BOUGIE DILATATION BILIAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54BB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION BILIAIRE INTRAHEPATIQUE;CATHETER BALLON DILATATION BILIAIRE INTRAHEPATIQUE;CATHETER BALLON DILATATION BILIAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54BZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION BILIAIRE INTRAHEPATIQUE;TRACTUS DIGESTIF DILATATION BILIAIRE AUTRE TECHNIQUE;TRACTUS DIGESTIF DILATATION BILIAIRE AUTRE TECHNIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54CA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION INTESTIN;BOUGIE DILATATION INTESTIN;BOUGIE DILATATION COLON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54CB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION INTESTIN;CATHETER BALLON DILATATION INTESTIN;CATHETER BALLON DILATATION COLON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54CB02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION INTESTIN;CATHETER BALLON DILATATION INTESTIN;CATHETER BALLON DILATATION PYLORE/COLON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA54CZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF DILATATION;TRACTUS DIGESTIF DILATATION INTESTIN;TRACTUS DIGESTIF DILATATION INTESTIN AUTRE TECHNIQUE;TRACTUS DIGESTIF DILATATION INTESTIN AUTRE TECHNIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
